student_id_number,date,status,remarks
CCS-123,2026-04-14,Absent,Sample record
STU-2026-09530,2026-04-14,Absent,Sample record
STU-2026-72667,2026-04-14,Present,Sample record
STU-2026-80650,2026-04-14,Late,Sample record
STU-2026-59193,2026-04-14,Present,Sample record
STU-2026-93101,2026-04-14,Present,Sample record
STU-2026-47914,2026-04-14,Absent,Sample record
STU-2026-47972,2026-04-14,Absent,Sample record
STU-2026-65482,2026-04-14,Late,Sample record
STU-2026-93846,2026-04-14,Present,Sample record
STU-2026-21653,2026-04-14,Absent,Sample record
STU-2026-26539,2026-04-14,Present,Sample record
STU-2026-16537,2026-04-14,Absent,Sample record
STU-2026-30747,2026-04-14,Late,Sample record
STU-2026-48056,2026-04-14,Late,Sample record
STU-2026-86041,2026-04-14,Absent,Sample record
STU-2026-60733,2026-04-14,Absent,Sample record
STU-2026-99989,2026-04-14,Absent,Sample record
STU-2026-81297,2026-04-14,Late,Sample record
STU-2026-33123,2026-04-14,Late,Sample record
STU-2026-17621,2026-04-14,Late,Sample record
